interacting_pair,Plac_Con,Con_Plac
PTPRZ1_MDK,1.153,0
LRP1_MDK,1.136,0
APP_CD74,1.121,0
a2b1 complex_COL6A3,0.856,0
a2b1 complex_COL6A1,0.84,0
a2b1 complex_COL6A2,0.801,0
a2b1 complex_COL15A1,0.514,0
a2b1 complex_COL11A1,0.439,0
a6b4 complex_IGF1,0.422,0
FGFR3_FGF7,0.365,0
F11R_BDNF,0.364,0
EFNA1_EPHA7,0.303,0
EFNB1_EPHB6,0.268,0.288
a2b1 complex_COL14A1,0.259,0
a2b1 complex_COL4A1,0.254,0
CD74_MIF,0,1.994
BMP4_BMPR1A_BMPR2,0,0.868
SPP1_CD44,0,0.856
BMP4_BMR1B_AVR2A,0,0.83
BMP4_BMPR1B_BMPR2,0,0.83
NRP2_SEMA3C,0,0.496
EFNB1_EPHA4,0,0.472
FGF7_FGFR2,0,0.44
JAG1_NOTCH1,0,0.424
BMP7_BMPR1A_BMPR2,0,0.38
BMP7_ACVR1_BMPR2,0,0.358
EFNA5_EPHA2,0,0.351
EFNA4_EPHA2,0,0.348
EFNA1_EPHA2,0,0.345
BMP7_BMR1B_AVR2A,0,0.342
