interacting_pair,1,2,3,4
LGALS9_CD44,0,0.268,0.768,0.325
LGALS9_HAVCR2,0.17,0.269,0.814,0.449
EFNA2_EPHA5,0,0,0.937,0
EFNA4_EPHA1,0.478,0.635,0.593,0
EFNA4_EPHA5,0.504,0.554,0,0
EFNB1_EPHA4,0,0.931,0.198,0
EFNB1_EPHB2,0.164,0.292,0,0.939
EFNB1_EPHB6,0.17,0.827,0,0.135
EPHA4_EFNA2,1.053,0.393,0,0
FGFR1_FGF5,0.617,0.653,0.674,0
FGFR3_FGF2,0,0.921,0.814,0
FGFR3_FGF7,0,0.827,0.768,0
FGFR3_FGF5,0,1.32,0,0.988
CCL25_CCR9,0.395,0.639,0.556,1.244
CXCL3_CXCR2,0.181,0.305,0,0
CXCL6_CXCR2,1.786,0.22,0,0
IL13_IL13RA2,0,0.363,0,0
IGFL3_U2AF1L4,0.103,0,1.273,0.962
JAG1_NOTCH1,2.279,0.757,0,1.308
RIF1_NOTCH1,1.558,0.399,0,0.483
GUCA2A_STAR,0,0,1.109,0
GAS6_MERTK,0.443,0.347,0,0
AGT_AGTR2,0,0.617,0.33,0.183
BMP7_BMPR1B_BMPR2,0.16,1.32,0.724,1.817
BMP7_BMR1B_AVR2B,0,0.657,0.375,0
TGFA_EGFR,0,0,0,2.399
GDF5_BMPR1B_BMPR2,0.17,0.921,0,0
FZD1_WNT5A,0,0,0,2.399
WNT5A_FZD5,0.634,0,0.13,2.209
