FeatureID,FeatureName,crabp1+ Average,crabp1+ Log2 Fold Change,crabp1+ P-Value,crabp1- Average,crabp1- Log2 Fold Change,crabp1- P-Value
promoter_sum_Crabp1,Crabp1 Sum,2.6777572542304444,8.735405477352462,7.773878023168448e-49,0,-8.735405477352462,7.773878023168448e-49
promoter_sum_Lum,Lum Sum,1.278672093561861,7.6723956798266615,3.336052748743695e-30,0,-7.6723956798266615,3.336052748743695e-30
promoter_sum_Murc,Murc Sum,1.2098646266437338,7.5929612123322565,8.490090035602163e-27,0,-7.5929612123322565,8.490090035602163e-27
promoter_sum_Prr16,Prr16 Sum,2.1846370746505337,6.8575070850836495,1.2597416454701985e-33,0.012599559574602369,-6.8575070850836495,1.2597416454701985e-33
promoter_sum_Olfr969,Olfr969 Sum,1.3818832939390515,6.7839039950436515,4.2232077134334015e-34,0.0062997797873011845,-6.7839039950436515,4.2232077134334015e-34
promoter_sum_Kctd8,Kctd8 Sum,1.2155985822202444,6.599750377994895,3.14219207650225e-26,0.0062997797873011845,-6.599750377994895,3.14219207650225e-26
promoter_sum_Grem2,Grem2 Sum,1.1983967154907127,6.57928627543518,1.41433456970207e-29,0.0062997797873011845,-6.57928627543518,1.41433456970207e-29
promoter_sum_Brinp3,Brinp3 Sum,2.0068844517787054,5.998439883186256,3.6314710053378385e-33,0.025199119149204738,-5.998439883186256,3.6314710053378385e-33
promoter_sum_Tac1,Tac1 Sum,1.2270664933732658,5.613233607358517,8.148949082700067e-26,0.018899339361903553,-5.613233607358517,8.148949082700067e-26
promoter_sum_Fmo1,Fmo1 Sum,1.5022963610457738,5.582031652173998,8.786215696556299e-28,0.025199119149204738,-5.582031652173998,8.786215696556299e-28
promoter_sum_Mfap4,Mfap4 Sum,4.759183128503787,5.39382042309709,6.04200096092983e-48,0.10709625638412014,-5.39382042309709,6.042000960929745e-48
promoter_sum_Tunar,Tunar Sum,1.2098646266437338,5.271033117444895,1.1162427200616213e-21,0.025199119149204738,-5.271033117444895,1.1162427200616213e-21
promoter_sum_Col11a1,Col11a1 Sum,1.6227094281524963,5.207432955216135,2.184315731943645e-28,0.03779867872380711,-5.207432955216135,2.184315731943645e-28
promoter_sum_Lonrf2,Lonrf2 Sum,1.3704153827860304,5.1869688526564195,2.4316350936530966e-25,0.031498898936505926,-5.1869688526564195,2.4316350936530966e-25
promoter_sum_Myo16,Myo16 Sum,1.0607817816544587,5.082271473989727,7.286514859091498e-17,0.025199119149204738,-5.082271473989727,7.286514859091498e-17
