FeatureID,FeatureName,crabp1+ Average,crabp1+ Log2 Fold Change,crabp1+ P-Value,crabp1- Average,crabp1- Log2 Fold Change,crabp1- P-Value
SPI1_MOUSE.MA0080.4,SPI1,641.9983727687458,-0.47512221751619776,1.1027415276069238e-33,892.899066507744,0.47512221751619776,1.1027415276069857e-33
SPIC_MOUSE.MA0687.1,SPIC,1397.8339202076359,-0.3522679485448901,4.753845907464071e-28,1785.420965932348,0.3522679485448901,4.753845907444617e-28
PAX3_MOUSE.MA0780.1,PAX3,18.353445586690125,-0.3089274346422961,5.523886604411126e-05,22.74946123139842,0.3089274346422961,5.523886604400545e-05
PAX7_MOUSE.MA0680.1,PAX7,18.353445586690125,-0.3089274346422961,5.523886604411126e-05,22.74946123139842,0.3089274346422961,5.523886604400545e-05
YY2_MOUSE.MA0748.1,YY2,38.3962098779274,-0.29572723793461897,6.136517842670922e-11,47.158457628613135,0.29572723793461897,6.136517842681906e-11
ELF5_MOUSE.MA0136.2,ELF5,655.8107006174498,-0.2692525887469941,7.161414646890177e-32,790.8125093378324,0.2692525887469941,7.161414646922776e-32
PROX1_MOUSE.MA0794.1,PROX1,36.71834418154668,-0.26808324168434616,4.622704039612345e-10,44.24169885232995,0.26808324168434616,4.6227040395975435e-10
ETV2_MOUSE.MA0762.1,ETV2,129.65377894797228,-0.2615562640413156,1.52574490556149e-23,155.51227449670228,0.2615562640413156,1.5257449055616815e-23
PKNOX1_MOUSE.MA0782.1,PKNOX1,172.5796535557193,-0.25454817906325733,2.8345583680575765e-22,205.99608857500033,0.25454817906325733,2.8345583680542e-22
ETV6_MOUSE.MA0645.1,ETV6,1075.8841341454502,-0.22297028627149906,7.134100964515898e-32,1256.4001290020367,0.22297028627149906,7.134100964513593e-32
ELF3_MOUSE.MA0640.1,ELF3,297.4518015942107,-0.2204559672640869,1.0007703039790769e-22,346.7548440028736,0.2204559672640869,1.0007703039781769e-22
ZBED1_MOUSE.MA0749.1,ZBED1,9.483090761796833,-0.2100181685215845,0.019010012119718072,10.975562119375972,0.2100181685215845,0.019010012119736328
TGIF2_MOUSE.MA0797.1,TGIF2,222.07382834690893,-0.2097926446415137,1.1394838518866889e-15,256.97650597943283,0.2097926446415137,1.1394838519054257e-15
SCRT2_MOUSE.MA0744.1,SCRT2,167.50024443391146,-0.20932711069407528,1.3780708726342578e-15,193.76330284515748,0.20932711069407528,1.3780708726369332e-15
ETV3_MOUSE.MA0763.1,ETV3,1105.5531518005644,-0.20795372132082512,1.5140020362926132e-26,1277.6786386091887,0.20795372132082512,1.5140020362907874e-26
ETS1_MOUSE.MA0098.3,ETS1,1216.2522022331095,-0.20764515594516553,4.93938201325298e-28,1405.3119795437879,0.20764515594516553,4.939382013261318e-28
EHF_MOUSE.MA0598.2,EHF,229.94777146132355,-0.2072869434126794,1.26570553761871e-13,265.62620441944506,0.2072869434126794,1.2657055376204777e-13
ELK1_MOUSE.MA0028.2,ELK1,1122.4635183582855,-0.206121327463336,4.0908184296806445e-26,1295.575216704185,0.206121327463336,4.090818429327815e-26
FEV_MOUSE.MA0156.2,FEV,1122.4635183582855,-0.206121327463336,4.0908184296806445e-26,1295.575216704185,0.206121327463336,4.090818429327815e-26
ETV5_MOUSE.MA0765.1,ETV5,1122.4635183582855,-0.206121327463336,4.0908184296806445e-26,1295.575216704185,0.206121327463336,4.090818429327815e-26
ETV4_MOUSE.MA0764.1,ETV4,1122.4635183582855,-0.206121327463336,4.0908184296806445e-26,1295.575216704185,0.206121327463336,4.090818429327815e-26
ETV1_MOUSE.MA0761.1,ETV1,1122.4635183582855,-0.206121327463336,4.0908184296806445e-26,1295.575216704185,0.206121327463336,4.090818429327815e-26
ERF_MOUSE.MA0760.1,ERF,1122.4635183582855,-0.206121327463336,4.0908184296806445e-26,1295.575216704185,0.206121327463336,4.090818429327815e-26
ELK3_MOUSE.MA0759.1,ELK3,1122.4635183582855,-0.206121327463336,4.0908184296806445e-26,1295.575216704185,0.206121327463336,4.090818429327815e-26
ELF4_MOUSE.MA0641.1,ELF4,413.21880814039713,-0.19986819401175637,5.2400964421572385e-17,474.884788263607,0.19986819401175637,5.240096442157239e-17
ELK4_MOUSE.MA0076.2,ELK4,1537.6636969114736,-0.19712096227869758,6.031842095352735e-25,1763.7715753601083,0.19712096227869758,6.0318420953581695e-25
Gabpa_MOUSE.MA0062.2,Gabpa,1557.219708355638,-0.1936366280241515,9.316080238261908e-24,1781.8944537049883,0.1936366280241515,9.316080238281136e-24
ERG_MOUSE.MA0474.2,ERG,1168.3843546015516,-0.18839562510908436,4.309555893693456e-25,1332.110134824353,0.18839562510908436,4.309555893709117e-25
FLI1_MOUSE.MA0475.2,FLI1,1168.3843546015516,-0.18839562510908436,4.309555893693456e-25,1332.110134824353,0.18839562510908436,4.309555893709117e-25
PPARA::RXRA_MOUSE.MA1148.1,PPARA::RXRA,960.4091793075074,-0.18113885711096245,8.316798511201653e-24,1089.4974085945043,0.18113885711096245,8.316798511055205e-24
TGIF1_MOUSE.MA0796.1,TGIF1,153.87116471587012,-0.17952591921683414,1.6002364080805572e-11,174.35805641760098,0.17952591921683414,1.6002364080806868e-11
GLIS3_MOUSE.MA0737.1,GLIS3,222.3315210306534,-0.17632836092100224,2.033696458849372e-14,251.37557479480282,0.17632836092100224,2.0336964587779035e-14
Nr5a2_MOUSE.MA0505.1,Nr5a2,3463.2178744033035,-0.17285472994114315,4.753845907464071e-28,3906.212616074792,0.17285472994114315,4.753845907444617e-28
