Arnt_MOUSE.MA0004.1	Arnt
Ahr::Arnt_MOUSE.MA0006.1	Ahr::Arnt
Ddit3::Cebpa_MOUSE.MA0019.1	Ddit3::Cebpa
NFIL3_MOUSE.MA0025.1	NFIL3
Mecom_MOUSE.MA0029.1	Mecom
FOXF2_MOUSE.MA0030.1	FOXF2
FOXD1_MOUSE.MA0031.1	FOXD1
Gfi1_MOUSE.MA0038.1	Gfi1
Foxq1_MOUSE.MA0040.1	Foxq1
Foxd3_MOUSE.MA0041.1	Foxd3
IRF2_MOUSE.MA0051.1	IRF2
MZF1_MOUSE.MA0056.1	MZF1
MZF1(var.2)_MOUSE.MA0057.1	MZF1(var.2)
MAX::MYC_MOUSE.MA0059.1	MAX::MYC
Nkx2-5_MOUSE.MA0063.1	Nkx2-5
PPARG_MOUSE.MA0066.1	PPARG
Pax2_MOUSE.MA0067.1	Pax2
Pax6_MOUSE.MA0069.1	Pax6
PBX1_MOUSE.MA0070.1	PBX1
RORA_MOUSE.MA0071.1	RORA
RORA(var.2)_MOUSE.MA0072.1	RORA(var.2)
RREB1_MOUSE.MA0073.1	RREB1
RXRA::VDR_MOUSE.MA0074.1	RXRA::VDR
SOX9_MOUSE.MA0077.1	SOX9
Sox17_MOUSE.MA0078.1	Sox17
SPIB_MOUSE.MA0081.1	SPIB
SRY_MOUSE.MA0084.1	SRY
Sox5_MOUSE.MA0087.1	Sox5
MAFG::NFE2L1_MOUSE.MA0089.1	MAFG::NFE2L1
TAL1::TCF3_MOUSE.MA0091.1	TAL1::TCF3
Hand1::Tcf3_MOUSE.MA0092.1	Hand1::Tcf3
REL_MOUSE.MA0101.1	REL
RELA_MOUSE.MA0107.1	RELA
TBP_MOUSE.MA0108.2	TBP
HLTF_MOUSE.MA0109.1	HLTF
Spz1_MOUSE.MA0111.1	Spz1
NR1H2::RXRA_MOUSE.MA0115.1	NR1H2::RXRA
Znf423_MOUSE.MA0116.1	Znf423
NFIC::TLX1_MOUSE.MA0119.1	NFIC::TLX1
Nobox_MOUSE.MA0125.1	Nobox
ZNF354C_MOUSE.MA0130.1	ZNF354C
Lhx3_MOUSE.MA0135.1	Lhx3
CTCF_MOUSE.MA0139.1	CTCF
Pou5f1::Sox2_MOUSE.MA0142.1	Pou5f1::Sox2
EWSR1-FLI1_MOUSE.MA0149.1	EWSR1-FLI1
Gabpa_MOUSE.MA0062.2	Gabpa
REST_MOUSE.MA0138.2	REST
RUNX1_MOUSE.MA0002.2	RUNX1
Foxa2_MOUSE.MA0047.2	Foxa2
Pparg::Rxra_MOUSE.MA0065.2	Pparg::Rxra
Arid3a_MOUSE.MA0151.1	Arid3a
NFATC2_MOUSE.MA0152.1	NFATC2
INSM1_MOUSE.MA0155.1	INSM1
HOXA5_MOUSE.MA0158.1	HOXA5
RARA::RXRA_MOUSE.MA0159.1	RARA::RXRA
NR4A2_MOUSE.MA0160.1	NR4A2
PLAG1_MOUSE.MA0163.1	PLAG1
Nr2e3_MOUSE.MA0164.1	Nr2e3
ARNT::HIF1A_MOUSE.MA0259.1	ARNT::HIF1A
Zfx_MOUSE.MA0146.2	Zfx
Stat5a::Stat5b_MOUSE.MA0519.1	Stat5a::Stat5b
Stat4_MOUSE.MA0518.1	Stat4
STAT1::STAT2_MOUSE.MA0517.1	STAT1::STAT2
SP2_MOUSE.MA0516.1	SP2
Sox6_MOUSE.MA0515.1	Sox6
Sox3_MOUSE.MA0514.1	Sox3
SMAD2::SMAD3::SMAD4_MOUSE.MA0513.1	SMAD2::SMAD3::SMAD4
Rfx1_MOUSE.MA0509.1	Rfx1
POU2F2_MOUSE.MA0507.1	POU2F2
NRF1_MOUSE.MA0506.1	NRF1
Nr5a2_MOUSE.MA0505.1	Nr5a2
NR2C2_MOUSE.MA0504.1	NR2C2
Nkx2-5(var.2)_MOUSE.MA0503.1	Nkx2-5(var.2)
NFYB_MOUSE.MA0502.1	NFYB
MAF::NFE2_MOUSE.MA0501.1	MAF::NFE2
Myog_MOUSE.MA0500.1	Myog
Myod1_MOUSE.MA0499.1	Myod1
MEF2C_MOUSE.MA0497.1	MEF2C
Nr1h3::Rxra_MOUSE.MA0494.1	Nr1h3::Rxra
Klf1_MOUSE.MA0493.1	Klf1
