FeatureID,FeatureName,crabp1+ Average,crabp1+ Log2 Fold Change,crabp1+ P-Value,crabp1- Average,crabp1- Log2 Fold Change,crabp1- P-Value
chr3:54540343-54541860,chr3:54540343-54541860,3.183124217696454,8.995592944828676,7.277734554067237e-51,0,-8.995592944828676,7.277734554067237e-51
chr9:54764424-54765124,chr9:54764424-54765124,2.603360787503054,8.70608632763369,2.356747068034169e-44,0,-8.70608632763369,2.356747068034169e-44
chr3:128519831-128521295,chr3:128519831-128521295,2.2633072371011567,8.504606592316533,3.135135760580537e-38,0,-8.504606592316533,3.135135760580537e-38
chr10:7284352-7286041,chr10:7284352-7286041,2.2187100501632027,8.475966544272632,3.887250755601985e-39,0,-8.475966544272632,3.887250755601985e-39
chr8:14602999-14604524,chr8:14602999-14604524,2.1908368083269814,8.457773427506663,2.0986853579934154e-29,0,-8.457773427506663,2.0986853579934154e-29
chr14:24960102-24962017,chr14:24960102-24962017,1.9901494671061892,8.319537385314542,1.4713463094557072e-34,0,-8.319537385314542,1.4713463094557072e-34
chr13:42937635-42938842,chr13:42937635-42938842,1.8675072030268163,8.228039030829047,1.0284274834100698e-33,0,-8.228039030829047,1.0284274834100698e-33
chr8:107671209-107672100,chr8:107671209-107672100,1.7727381807836644,8.153134221815154,2.186387901832284e-30,0,-8.153134221815154,2.186387901832284e-30
chr8:14600401-14601893,chr8:14600401-14601893,1.6668198618060242,8.064540298546166,2.210226053917281e-35,0,-8.064540298546166,2.210226053917281e-35
chr4:13364567-13365736,chr4:13364567-13365736,1.6054987297663377,8.010647290550965,1.4343411115681482e-30,0,-8.010647290550965,1.4343411115681482e-30
chr2:7259477-7260812,chr2:7259477-7260812,1.594349433031849,8.000628534725973,7.726494937116728e-21,0,-8.000628534725973,7.726494937116674e-21
chr12:71258123-71259077,chr12:71258123-71259077,1.4995804107886972,7.912537205101117,5.520541122590336e-35,0,-7.912537205101117,5.520541122590336e-35
chr2:110392405-110393595,chr2:110392405-110393595,1.494005762421453,7.90718397060691,8.030570716486003e-26,0,-7.90718397060691,8.030570716486003e-26
chr15:67758348-67759709,chr15:67758348-67759709,1.4828564656869645,7.89641753973784,3.0848797504204973e-26,0,-7.89641753973784,3.0848797504204973e-26
chr1:185572801-185573630,chr1:185572801-185573630,1.4828564656869645,7.89641753973784,2.678777439602775e-27,0,-7.89641753973784,2.678777439602775e-27
chr1:186163025-186163990,chr1:186163025-186163990,1.4605578722179877,7.874640597342588,3.9823002791960576e-30,0,-7.874640597342588,3.9823002791960576e-30
chr13:63770862-63771620,chr13:63770862-63771620,1.4382592787490107,7.85252989573684,2.6136210090637395e-27,0,-7.85252989573684,2.6136210090637026e-27
chr13:29109156-29110571,chr13:29109156-29110571,1.415960685280034,7.830075044909144,6.8628806625646715e-28,0,-7.830075044909144,6.8628806625646715e-28
chr13:19555307-19556464,chr13:19555307-19556464,1.3880874434438126,7.801505892712373,3.4813765538804167e-28,0,-7.801505892712373,3.4813765538804167e-28
chr4:149361792-149362759,chr4:149361792-149362759,1.3713634983420802,7.784088839634963,5.5721988153808035e-28,0,-7.784088839634963,5.5721988153808035e-28
chr1:163735808-163737935,chr1:163735808-163737935,1.3434902565058588,7.75458484532488,8.609287273042309e-26,0,-7.75458484532488,8.609287273042309e-26
chr5:74830478-74831230,chr5:74830478-74831230,1.3379156081386148,7.748610944280247,9.186491389339403e-33,0,-7.748610944280247,9.186491389339403e-33
chr10:37026339-37027413,chr10:37026339-37027413,1.3156170146696378,7.724464856948545,1.1185279729685857e-29,0,-7.724464856948545,1.1185279729685857e-29
chr10:71027946-71029283,chr10:71027946-71029283,1.3100423663023935,7.718364657412127,3.432741500962674e-30,0,-7.718364657412127,3.432741500962674e-30
chr14:46158574-46159560,chr14:46158574-46159560,1.3044677179351494,7.712238554615285,7.30192680435581e-29,0,-7.712238554615285,7.30192680435581e-29
chr13:54332056-54332846,chr13:54332056-54332846,1.2821691244661724,7.687470649466343,1.1844270649945904e-24,0,-7.687470649466343,1.1844270649945904e-24
chr18:66205730-66206352,chr18:66205730-66206352,1.248721234262707,7.649502799267323,2.3288861129771794e-27,0,-7.649502799267323,2.3288861129771794e-27
chr11:35166955-35167698,chr11:35166955-35167698,1.248721234262707,7.649502799267323,7.633061901555307e-25,0,-7.649502799267323,7.633061901555307e-25
chr6:99887709-99888440,chr6:99887709-99888440,1.248721234262707,7.649502799267323,2.535257586408527e-26,0,-7.649502799267323,2.535257586408527e-26
chr10:97565079-97565970,chr10:97565079-97565970,1.243146585895463,7.64307653010789,5.458599656767563e-28,0,-7.64307653010789,5.458599656767563e-28
chr2:126322428-126323179,chr2:126322428-126323179,1.243146585895463,7.64307653010789,7.241346234921894e-28,0,-7.64307653010789,7.241346234921894e-28
chr5:131165416-131166221,chr5:131165416-131166221,1.2319972891609743,7.630137474400391,1.3634883561607003e-26,0,-7.630137474400391,1.3634883561607003e-26
chr11:34879571-34880334,chr11:34879571-34880334,1.2152733440592416,7.610508667651459,7.217865455657444e-27,0,-7.610508667651459,7.217865455657444e-27
chr3:99183310-99184713,chr3:99183310-99184713,1.2096986956919975,7.603905932827212,1.4161184211601117e-16,0,-7.603905932827212,1.4161184211601117e-16
chr1:158665964-158666875,chr1:158665964-158666875,1.1874001022230205,7.577188594451433,1.2970955328242682e-29,0,-7.577188594451433,1.2970955328242682e-29
chr13:92832095-92833611,chr13:92832095-92833611,1.1818254538557762,7.5704312282761235,2.9679074543799836e-27,0,-7.5704312282761235,2.9679074543799836e-27
chr4:48663152-48664625,chr4:48663152-48664625,1.1762508054885321,7.563642062613485,3.665141372744306e-26,0,-7.563642062613485,3.665141372744306e-26
chr5:53493623-53494401,chr5:53493623-53494401,1.1595268603867994,7.543080740131169,2.8816805837015373e-24,0,-7.543080740131169,2.8816805837015373e-24
chr1:63776420-63777506,chr1:63776420-63777506,1.1428029152850667,7.522222135233504,8.620293073265141e-29,0,-7.522222135233504,8.620293073265141e-29
chr15:7492975-7493703,chr15:7492975-7493703,1.1372282669178224,7.515201707555732,1.0709425622247801e-21,0,-7.515201707555732,1.0709425622247801e-21
chr9:101421900-101422546,chr9:101421900-101422546,1.1372282669178224,7.515201707555732,2.4463878712511535e-25,0,-7.515201707555732,2.4463878712511535e-25
chr19:38672022-38672789,chr19:38672022-38672789,1.1316536185505783,7.508146950021781,2.879369719717486e-23,0,-7.508146950021781,2.879369719717486e-23
chr8:92801014-92801768,chr8:92801014-92801768,1.126078970183334,7.501057525235462,1.4343411115681482e-30,0,-7.501057525235462,1.4343411115681482e-30
chr5:4650113-4651664,chr5:4650113-4651664,1.126078970183334,7.501057525235462,1.4124024024267108e-21,0,-7.501057525235462,1.4124024024267108e-21
chr12:71483167-71484015,chr12:71483167-71484015,1.1093550250816013,7.47957779782501,3.029182367861048e-23,0,-7.47957779782501,3.029182367861048e-23
chr8:45447895-45449006,chr8:45447895-45449006,1.1093550250816013,7.47957779782501,5.501127545249479e-23,0,-7.47957779782501,5.501127545249479e-23
chr1:185587646-185588774,chr1:185587646-185588774,2.2187100501632027,7.475966544272632,3.096780494138829e-33,0.006251184122603443,-7.475966544272632,3.096780494138829e-33
chr11:57051632-57052565,chr11:57051632-57052565,1.103780376714357,7.472346228593935,1.659384142721107e-23,0,-7.472346228593935,1.659384142721107e-23
chr14:33500254-33501193,chr14:33500254-33501193,1.0926310799798686,7.4577734275066625,7.040167888603332e-23,0,-7.4577734275066625,7.040167888603382e-23
chr10:70640801-70641697,chr10:70640801-70641697,1.0814817832453802,7.4430519217998965,3.960721159331524e-25,0,-7.4430519217998965,3.960721159331524e-25
chr4:84102699-84103684,chr4:84102699-84103684,1.0814817832453802,7.4430519217998965,1.4103029645084284e-23,0,-7.4430519217998965,1.4103029645084284e-23
chr4:12595798-12596759,chr4:12595798-12596759,1.075907134878136,7.435634450237413,1.7730054102904925e-26,0,-7.435634450237413,1.7730054102904925e-26
chr1:169027389-169028136,chr1:169027389-169028136,1.075907134878136,7.435634450237413,2.561799866236291e-23,0,-7.435634450237413,2.561799866236291e-23
chr9:91355407-91356214,chr9:91355407-91356214,1.0703324865108916,7.428178645318366,5.500133804601231e-25,0,-7.428178645318366,5.500133804601231e-25
chr10:23233294-23233970,chr10:23233294-23233970,1.0647578381436476,7.420684108771442,2.23304205472451e-25,0,-7.420684108771442,2.23304205472451e-25
chr4:72014019-72014886,chr4:72014019-72014886,1.0647578381436476,7.420684108771442,3.838907470671393e-14,0,-7.420684108771442,3.838907470671393e-14
chr4:13241777-13242528,chr4:13241777-13242528,1.0647578381436476,7.420684108771442,2.9953145489971435e-26,0,-7.420684108771442,2.995314548997186e-26
chr7:83459431-83460247,chr7:83459431-83460247,1.0424592446746705,7.390310459727923,1.4610874434749485e-26,0,-7.390310459727923,1.4610874434749485e-26
chr13:104626592-104627412,chr13:104626592-104627412,1.0368845963074265,7.3826160679379225,6.879366630815134e-25,0,-7.3826160679379225,6.879366630815134e-25
chr12:27603649-27604735,chr12:27603649-27604735,1.0145860028384495,7.351421446334328,1.5399021507327258e-24,0,-7.351421446334328,1.5399021507327258e-24
chr10:118451622-118452300,chr10:118451622-118452300,1.003436706103961,7.335567495133491,6.502844040710553e-21,0,-7.335567495133491,6.502844040710553e-21
chr8:108552436-108553452,chr8:108552436-108553452,1.9009550932302817,7.253574122936183,9.839141449422557e-36,0.006251184122603443,-7.253574122936183,9.839141449422557e-36
chr8:120866283-120867588,chr8:120866283-120867588,1.7671635324164203,7.148604563334641,7.788817660394905e-28,0.006251184122603443,-7.148604563334641,7.788817660394905e-28
chr8:103270081-103273214,chr8:103270081-103273214,2.592211490768566,7.11494525198341,1.1122682424039194e-32,0.012502368245206886,-7.11494525198341,1.1122682424039194e-32
chr4:57601659-57602999,chr4:57601659-57602999,1.588774784664605,6.995592944828675,4.6520434274982945e-31,0.006251184122603443,-6.995592944828675,4.652043427498229e-31
chr2:76285282-76287202,chr2:76285282-76287202,2.3636509077115524,6.982078138354193,2.1760452192585324e-34,0.012502368245206886,-6.982078138354193,2.1760452192585324e-34
chr8:12995795-12997553,chr8:12995795-12997553,2.2688818854684007,6.923184449300625,2.0854030479396479e-35,0.012502368245206886,-6.923184449300625,2.0854030479396479e-35
chr5:111601906-111602929,chr5:111601906-111602929,1.5107297075231858,6.923184449300625,2.5893525999377592e-28,0.006251184122603443,-6.923184449300625,2.5893525999377592e-28
chr15:7838133-7839379,chr15:7838133-7839379,2.2354339952649354,6.901810798508058,4.0005303128324214e-36,0.012502368245206886,-6.901810798508058,4.0005303128324214e-36
chr18:51117071-51119068,chr18:51117071-51119068,2.123941027920051,6.828187935364879,3.256410371018024e-30,0.012502368245206886,-6.828187935364879,3.256410371018024e-30
chr14:23014790-23016225,chr14:23014790-23016225,1.3657888499748359,6.778236113389526,8.790607759833978e-26,0.006251184122603443,-6.778236113389526,8.790607759833978e-26
chr1:169726238-169727358,chr1:169726238-169727358,1.3546395532403475,6.766458945613172,1.80305869338091e-27,0.006251184122603443,-6.766458945613172,1.80305869338091e-27
chr9:39790564-39791265,chr9:39790564-39791265,1.3434902565058588,6.75458484532488,3.3789746292276747e-31,0.006251184122603443,-6.75458484532488,3.3789746292276747e-31
chr15:8806167-8806873,chr15:8806167-8806873,1.3267663114041262,6.736588416031035,1.1957862826083432e-25,0.006251184122603443,-6.736588416031035,1.1957862826083432e-25
chr1:174918446-174919786,chr1:174918446-174919786,1.3156170146696378,6.724464856948545,1.1113380864567915e-30,0.006251184122603443,-6.724464856948545,1.1113380864567915e-30
chr5:74777277-74778139,chr5:74777277-74778139,1.9734255220044568,6.722434321721174,1.2839337938214094e-37,0.012502368245206886,-6.722434321721174,1.2839337938214094e-37
chr1:73460161-73462082,chr1:73460161-73462082,1.8898057964957933,6.660150043466832,4.445634689628689e-31,0.012502368245206886,-6.660150043466832,4.445634689628689e-31
chr11:31381946-31382664,chr11:31381946-31382664,1.248721234262707,6.649502799267323,2.5382329289115213e-23,0.006251184122603443,-6.649502799267323,2.5382329289115213e-23
